R_DEF,LOC,MUN,EST,EST_D,AGEB,T_LOC,CD_A,ENT,CON,UPM,D_SEM,N_PRO_VIV,V_SEL,N_HOG,H_MUD,N_ENT,PER,N_REN,C_RES,PAR_C,SEX,EDA,NAC_DIA,NAC_MES,NAC_ANIO,L_NAC_C,CS_P12,CS_P13_1,CS_P13_2,CS_P14_C,CS_P15,CS_P16,CS_P17,N_HIJ,E_CON,CS_AD_MOT,CS_P20_DES,CS_AD_DES,CS_NR_MOT,CS_P22_DES,CS_NR_ORI,UR,ZONA,SALARIO,FAC,CLASE1,CLASE2,CLASE3,POS_OCU,SEG_SOC,RAMA,C_OCU11C,ING7C,DUR9C,EMPLE7C,MEDICA5C,BUSCAR5C,RAMA_EST1,RAMA_EST2,DUR_EST,AMBITO1,AMBITO2,TUE1,TUE2,TUE3,BUSQUEDA,D_ANT_LAB,D_CEXP_EST,DUR_DES,SUB_O,S_CLASIFI,REMUNE2C,PRE_ASA,TIP_CON,DISPO,NODISPO,C_INAC5C,PNEA_EST,NIV_INS,EDA5C,EDA7C,EDA12C,EDA19C,HIJ5C,DOMESTICO,ANIOS_ESC,HRSOCUP,INGOCUP,ING_X_HRS,TPG_P8A,TCCO,CP_ANOC,IMSSISSSTE,MA48ME1SM,P14APOYOS,SCIAN,T_TRA,EMP_PPAL,TUE_PPAL,TRANS_PPAL,MH_FIL2,MH_COL,SEC_INS
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0119,05,1,0,1,215,02,1,201,2,39,22,06,1975,009,1,04,3,,,,2,04,1,,,,,,,1,1,2103,426,1,1,1,3,2,3,6,1,2,1,1,1,3,5,2,2,2,3,5,0,1,0,0,0,1,5,0,0,0,0,0,0,0,4,2,3,5,10,3,3,12,9,1500,38.75969,1,0,1,4,0,0,7,1,1,1,0,1,7,8
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0119,05,1,0,1,215,03,1,415,1,74,25,05,1940,016,1,02,3,,,,2,,3,,,,,,,1,1,2103,426,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1,4,6,11,17,0,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0119,05,1,0,1,215,04,1,301,1,17,15,10,1997,009,1,04,1,,,,1,,6,,,,,,,1,1,2103,426,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,1,1,1,6,0,7,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0119,05,1,0,1,215,05,1,301,2,15,14,01,2000,009,1,03,2,,,,1,00,6,,,,,,,1,1,2103,426,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,1,1,1,6,1,7,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0119,05,1,0,1,215,06,1,301,2,09,14,10,2005,009,1,02,3,,,,1,,,,,,,,,1,1,2103,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0119,05,1,0,1,215,07,1,301,2,08,19,01,2007,009,1,02,1,,,,1,,,,,,,,,1,1,2103,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0024,01,1,0,1,215,01,1,101,2,30,29,07,1984,015,1,04,3,,,,2,01,2,,,,,,,1,1,2103,833,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,4,2,3,4,9,2,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0024,01,1,0,1,215,02,1,301,1,05,25,07,2009,015,1,01,2,,,,1,,,,,,,,,1,1,2103,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0053,02,1,0,1,215,01,1,101,1,43,12,03,1972,009,1,04,3,,,,2,,1,,,,,,,1,1,2103,833,1,1,1,1,1,4,6,4,3,3,3,1,3,8,3,2,4,1,1,0,1,0,0,0,1,5,1,1,3,0,0,0,0,4,2,4,6,11,0,3,12,21,0,0,1,0,0,1,0,0,12,1,2,2,0,3,2,2
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0053,02,1,0,1,215,02,1,201,2,34,19,07,1980,200,1,04,3,,,,2,03,1,,,,,,,1,1,2103,833,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,4,2,3,4,9,3,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0053,02,1,0,1,215,03,1,301,2,19,05,02,1996,200,1,03,3,,,,1,00,6,,,,,,,1,1,2103,833,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,1,1,1,6,1,7,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0053,02,1,0,1,215,04,1,301,1,09,22,06,2005,200,1,02,3,,,,1,,,,,,,,,1,1,2103,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0053,02,1,0,1,215,05,1,301,2,00,20,02,2015,009,,,,,,,,,,,,,,,,1,1,2103,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0085,03,1,0,1,215,01,1,101,2,67,25,10,1947,009,1,02,3,,,,2,06,3,,,,,,,1,1,2103,833,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1,4,6,11,16,4,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0085,03,1,0,1,215,02,1,301,2,42,21,01,1973,009,1,04,3,,,,2,02,6,,,,,,,1,1,2103,833,1,1,1,1,1,2,5,2,3,6,3,4,2,3,3,2,5,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,2,4,6,11,2,3,12,22,3152,33.31924,0,0,0,1,0,0,5,1,2,2,0,3,2,2
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0085,03,1,0,1,215,03,1,301,1,36,24,04,1978,009,1,03,3,,,,2,,5,,,,,,,1,1,2103,833,1,1,1,2,2,3,6,4,4,2,1,4,3,5,3,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,5,10,0,3,9,27,6450,55.55556,0,0,0,4,0,0,7,1,2,2,0,3,6,4
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0085,03,1,0,1,215,04,1,301,2,26,17,06,1988,009,1,06,3,2441,2,1,2,00,5,,,,,,,1,1,2103,833,1,1,1,1,2,3,6,2,3,2,1,4,3,5,3,2,3,1,2,0,2,0,0,0,0,0,1,2,5,0,0,0,0,3,2,2,3,8,1,3,12,24,0,0,0,0,0,4,0,0,7,1,1,2,0,3,1,4
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0085,03,1,0,1,215,05,1,417,2,32,27,09,1982,009,1,04,3,,,,2,02,5,,,,,,,1,1,2103,833,1,1,1,1,2,4,8,2,3,2,1,4,3,6,3,2,3,1,2,0,2,0,0,0,0,0,1,2,5,0,0,0,0,4,2,3,4,9,2,3,12,24,0,0,0,0,0,4,0,0,18,1,1,2,0,3,1,4
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0085,03,1,0,1,215,06,1,409,1,17,99,09,1997,009,1,04,2,,,,1,,6,,,,,,,1,1,2103,833,1,1,1,4,2,3,6,6,2,2,1,4,3,5,2,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,6,0,2,11,12,0,0,0,0,0,4,0,0,7,1,1,2,0,3,9,4
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0085,03,1,0,1,215,07,1,409,1,15,23,10,1999,009,1,03,2,,,,1,,6,,,,,,,1,1,2103,833,1,1,1,4,2,3,6,6,2,2,1,4,3,5,2,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,6,0,2,8,12,0,0,0,0,0,4,0,0,7,1,1,2,0,3,9,4
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0085,03,1,0,1,215,08,1,409,1,20,17,12,1994,009,1,07,3,5712,3,2,1,,6,,,,,,,1,1,2103,833,1,1,1,1,1,4,4,2,2,6,3,4,3,7,2,2,5,1,1,0,2,0,0,0,0,0,1,1,2,0,0,0,0,4,1,2,2,7,0,2,15,12,2800,54.26357,0,0,0,1,0,0,9,1,2,2,0,3,2,2
